Amenity,Type,Latitude,Longitude
Sim Lim Square,Shopping Mall,1.302906588,103.8530319
Singapore Shopping Centre,Shopping Mall,1.286497018,103.8446287
The South Beach,Shopping Mall,1.294988044,103.8562762
Square 2,Shopping Mall,1.2782295,103.8508125
Sunshine Plaza,Shopping Mall,1.300467354,103.8505561
Suntec City,Shopping Mall,1.293501325,103.8573075
Tanglin Mall,Shopping Mall,1.304853421,103.8238835
Tanjong Pagar Centre,Shopping Mall,1.275596198,103.8423932
Tekka Centre,Shopping Mall,1.306710983,103.8501344
The Adelphi,Shopping Mall,1.291185037,103.8511843
The Paragon,Shopping Mall,1.30375856,103.8352403
Tiong Bahru Plaza,Shopping Mall,1.286440217,103.8274507
The Poiz,Shopping Mall,1.332027297,103.8686595
Thomson Plaza,Shopping Mall,1.354362827,103.8303094
United Square,Shopping Mall,1.31719451,103.8436114
Thomson V,Shopping Mall,1.353194953,103.8355647
Velocity@Novena Square,Shopping Mall,1.319789492,103.8440336
Wheelock Place,Shopping Mall,1.304676287,103.830642
Wisma Atria,Shopping Mall,1.303698907,103.8331896
Zhongshan Mall,Shopping Mall,1.326945045,103.8465544
Bedok Mall,Shopping Mall,1.326119703,103.9295545
Century Square,Shopping Mall,1.352368296,103.9438123
Our Tampines Hub,Shopping Mall,1.353547405,103.9403811
Changi City Point,Shopping Mall,1.33432516,103.9623893
Downtown East,Shopping Mall,1.376656855,103.9556828
Djitsun Mall Bedok,Shopping Mall,1.326119703,103.9295545
Eastpoint Mall,Shopping Mall,1.342705924,103.9530246
Jewel Changi Airport,Shopping Mall,1.360231067,103.9894572
KINEX,Shopping Mall,1.3146185,103.894738
Katong Shopping Centre,Shopping Mall,1.303798132,103.9011617
Katong Square,Shopping Mall,1.304776839,103.9046177
Kallang Wave Mall,Shopping Mall,1.303075152,103.8731497
Leisure Park Kallang,Shopping Mall,1.302221774,103.8761527
i12 Katong,Shopping Mall,1.305223062,103.9050439
Parkway Parade,Shopping Mall,1.30106068,103.9053395
Paya Lebar Square,Shopping Mall,1.31881487,103.8925808
PLQ Mall,Shopping Mall,1.3175612,103.8928367
Roxy Square,Shopping Mall,1.304325999,103.9040511
Singpost Centre,Shopping Mall,1.318996669,103.8948949
Tampines 1,Shopping Mall,1.354550564,103.9453033
Tampines Mall,Shopping Mall,1.352672322,103.944388
White Sands,Shopping Mall,1.372345191,103.9498054
City Plaza,Shopping Mall,1.314802267,103.8934775
Elias Mall,Shopping Mall,1.377828766,103.9423643
Loyang Point,Shopping Mall,1.36645364,103.9645985
888 Plaza,Shopping Mall,1.437118561,103.7953161
Admiralty Place,Shopping Mall,1.440420086,103.8015418
AMK Hub,Shopping Mall,1.369225221,103.8484932
Canberra Plaza,Shopping Mall,1.443495445,103.8303454
Causeway Point,Shopping Mall,1.43622868,103.7863498
Woodlands Civic Centre,Shopping Mall,1.435150244,103.7868161
Broadway Plaza,Shopping Mall,1.371937291,103.8459494
Djitsun Mall,Shopping Mall,1.326119703,103.9295545
Jubilee Square,Shopping Mall,1.371785586,103.8478376
Junction 8,Shopping Mall,1.350182003,103.8485157
Junction Nine,Shopping Mall,1.43312284,103.841661
Marsiling Mall,Shopping Mall,1.433543181,103.7798819
Northpoint City,Shopping Mall,1.42790289,103.8361777
Sembawang Shopping Centre,Shopping Mall,1.441853079,103.8249704
Sun Plaza,Shopping Mall,1.448194368,103.8194644
Vista Point,Shopping Mall,1.430801139,103.7941048
Wisteria Mall,Shopping Mall,1.417989691,103.8413173
Woodlands Mart,Shopping Mall,1.44564787,103.7981623
Woodlands North Plaza,Shopping Mall,1.442855482,103.7909651
Waterway Point,Shopping Mall,1.406379336,103.9021722
Compass One,Shopping Mall,1.392053142,103.8950705
Hougang Mall,Shopping Mall,1.372483087,103.8937881
Heartland Mall,Shopping Mall,1.359541773,103.8851674
NEX,Shopping Mall,1.350769353,103.8722961
Buangkok Square,Shopping Mall,1.384334266,103.8816231
Greenwich V,Shopping Mall,1.387367695,103.869348
Hougang 1,Shopping Mall,1.356642846,103.8898289
Hougang Green Shopping Mall,Shopping Mall,1.379317835,103.8878471
Hougang Rivercourt,Shopping Mall,1.362205919,103.8947421
myVillage At Serangoon Garden,Shopping Mall,1.365114906,103.8651595
Northshore Plaza,Shopping Mall,1.416761272,103.9020744
Oasis Terraces,Shopping Mall,1.40282352,103.9134614
Punggol Plaza,Shopping Mall,1.394256298,103.9130435
Rivervale Mall,Shopping Mall,1.392217327,103.9044731
Rivervale Plaza,Shopping Mall,1.385448338,103.901926
The Seletar Mall,Shopping Mall,1.391470154,103.8761255
Upper Serangoon Shopping Centre,Shopping Mall,1.353480823,103.8788281
Beauty World Centre,Shopping Mall,1.342412642,103.7765394
Beauty World Plaza,Shopping Mall,1.341800186,103.7762594
Bukit Panjang Plaza,Shopping Mall,1.379882914,103.7643778
Bukit Timah Plaza,Shopping Mall,1.338759307,103.7786001
Fajar Shopping Centre,Shopping Mall,1.383601112,103.7709401
Greenridge Shopping Centre,Shopping Mall,1.385405693,103.7662285
Hillion Mall,Shopping Mall,1.378482249,103.7636728
HillV2,Shopping Mall,1.362674508,103.7641729
Junction 10,Shopping Mall,1.38018163,103.7604193
Keat Hong Shopping Centre,Shopping Mall,1.377366074,103.7443936
